model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,0,-0.003920129168416109,0.0068707532584841875,-0.01075280390990481,0.002912545573072591,-0.015221512585522465,0.0073812542486902475,196
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,0,-0.007174935818525368,0.01167132019965553,-0.018781572198538043,0.0044317005614873065,-0.02637254918024074,0.012022677543190004,196
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,1,-9.662640330841497e-4,0.013659928803501092,-0.014550487915809783,0.012617959849641484,-0.023434847469421795,0.0215023194032535,196
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,1,-0.015798480228070455,0.014914962272901532,-0.030630782038133443,-9.66178418007467e-4,-0.040331410018496903,0.008734449562355993,196
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,2,-0.0033108095578851097,0.011984026811538536,-0.01522841949321665,0.008606800377446431,-0.02302277952432795,0.016401160408557727,196
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,2,-0.011560557392565394,0.01653525364236617,-0.028004170728089216,0.004883055942958429,-0.03875862931877392,0.015637514533643135,196
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,3,-0.01231602765885524,0.012416285415720952,-0.024663500570701227,3.1445252990749614e-5,-0.032738999758168505,0.008106944440458027,192
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,3,-0.016057144519410104,0.014538911387011199,-0.03051547956151144,-0.0015988094773087703,-0.039971525646261524,0.007857236607441316,192
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,4,-0.017260762012505076,0.013943154206820558,-0.031126641630287014,-0.003394882394723138,-0.04019520978073754,0.005673685755727388,188
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,4,-0.010822073915324807,0.016939467620873862,-0.027667661028279184,0.00602351319762957,-0.03868501867014619,0.01704087083949658,188
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,5,-0.02562419906047983,0.017734340306967616,-0.043260253582268246,-0.00798814453869141,-0.05479459303598719,0.003546194915027525,184
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,5,-0.022845704087963874,0.015352036730695106,-0.03811265803812931,-0.007578750137798438,-0.04809755738553993,0.0024061492096121816,184
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,6,0.020923402612136228,0.022046088419142212,-0.0010005038102189924,0.04284730903449145,-0.015339185884182673,0.057185991108455125,180
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,6,-0.04588517450639376,0.01442444263522309,-0.06022967519589823,-0.03154067381688929,-0.06961127129169391,-0.022159077721093618,180
corporate_mortgages__miyajima_surprise__pop_precip_shock,corporate_mortgages,miyajima_surprise,pop_precip_shock,No climate shock,0,7,0.014698295109384934,0.020624349645566486,-0.005811751981722938,0.035208342200492806,-0.0192257412086404,0.048622331427410265,176
