model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,-3 SD,-3,0,33.808756565445606,14.69287095457466,19.197315217685222,48.42019791320599,9.641134485483548,57.976378645407664,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,0,11.17701478714737,5.614854128846836,5.593278835642802,16.760750738651936,1.9414016085102066,20.41262796578453,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,+3 SD,3,0,-11.454726991150869,3.9141733120396554,-15.347207497557934,-7.562246484743804,-17.892969159975948,-5.016484822325788,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,-3 SD,-3,1,49.547911521990606,15.769752529902464,33.86555680236215,65.23026624161906,23.608976877053394,75.48684616692782,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,1,16.661352527682915,6.557270458783438,10.14042322760729,23.18228182775854,5.875602430651238,27.447102624714592,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,+3 SD,3,1,-16.225206466624776,3.6898772322146844,-19.894633968276853,-12.555778964972697,-22.294514415038755,-10.155898518210796,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,-3 SD,-3,2,63.124685758638556,18.09957650684924,45.12541921864428,81.12395229863283,33.35353169506194,92.89583982221518,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,2,19.428726606781495,7.143054893748876,12.325259357492918,26.532193856070073,7.679446857285198,31.17800635627779,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,+3 SD,3,2,-24.267232545075565,6.295847675775059,-30.528187897737876,-18.006277192413254,-34.622980429308164,-13.911484660842966,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,-3 SD,-3,3,81.11087528618262,34.05589906854691,47.24371798767046,114.97803258469477,25.093906184189997,137.12784438817525,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,3,21.779886789513284,9.900697120006491,11.93406048925073,31.62571308977584,5.49468922232262,38.06508435670395,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,+3 SD,3,3,-37.55110170715606,16.965369954718653,-54.422447600195916,-20.6797558141162,-65.45665200974855,-9.645551404563559,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,-3 SD,-3,4,103.92107526382404,39.141794395878335,64.99620926386748,142.8459412637806,39.53855278637478,168.30359774127328,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,4,27.084133525049232,11.550327043663739,15.597819742827022,38.570447307271444,8.085536194803264,46.082730855295196,184
corporate_unsecured_credit_rate__country_risk__pop_temp_shock,corporate_unsecured_credit_rate,country_risk,pop_temp_shock,+3 SD,3,4,-49.752808213725565,18.740574571759808,-68.38952033249235,-31.116096094958777,-80.57831026923921,-18.927306158211923,184
