model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,-3 SD,-3,0,0.04207871081222254,0.05458040396157857,-0.012199202176142121,0.0963566238005872,-0.04769806460445645,0.13185548622890153,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,0,0.041065234356873655,0.020385564767103206,0.020792648770544875,0.061337819943202435,0.007533964212249819,0.07459650450149749,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,+3 SD,3,0,0.04005175790152477,0.01570724289408695,0.024431566382009627,0.05567194942103992,0.014215642457778125,0.06588787334527142,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,-3 SD,-3,1,0.1549062680784082,0.11433072603753734,0.0412091762772846,0.2686033598795318,-0.033151041316430124,0.3429635774732466,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,1,0.08319416417778101,0.041588397031291274,0.04183625489995631,0.12455207345560572,0.014787338481763751,0.15160098987379828,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,+3 SD,3,1,0.011482060277153816,0.032904270907173086,-0.0212398513177538,0.04420397187206143,-0.04264064906670362,0.06560476962101125,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,-3 SD,-3,2,0.19790690154297577,0.2014406416597624,-0.00241733255440596,0.3982311356403575,-0.13343346850651608,0.5292472715924676,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,2,0.10066299011975852,0.07198504822724519,0.02907689143694027,0.17224908880257678,-0.01774187754310233,0.21906785778261936,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,+3 SD,3,2,0.003419078696541261,0.06043755784189465,-0.056683527141276314,0.06352168453435883,-0.0959918575237885,0.10283001491687102,196
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,-3 SD,-3,3,0.25088135409054224,0.23949935534558087,0.012709332143475388,0.4890533760376091,-0.14306002920217575,0.6448227373832602,192
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,3,0.11569457736107326,0.08357885672480947,0.032578924421427985,0.19881023030071854,-0.021780408259186992,0.25316956298133353,192
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,+3 SD,3,3,-0.019492199368395732,0.07701643035707792,-0.09608179567366683,0.057097396936875364,-0.14617295417609077,0.1071885554392993,192
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,-3 SD,-3,4,0.06539914591344947,0.2544324022102291,-0.1876231622085075,0.31842145403540645,-0.3531049136760215,0.48390320550292043,188
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,No climate shock,0,4,0.04214210544195716,0.08723765052854049,-0.044612063838847436,0.12889627472276174,-0.10135106043663764,0.18563527132055194,188
corporate_unsecured_credit__miyajima_surprise__pop_temp_shock,corporate_unsecured_credit,miyajima_surprise,pop_temp_shock,+3 SD,3,4,0.018885064970464847,0.0874958340475209,-0.06812585694610465,0.10589598688703433,-0.12503277500574395,0.16280290494667365,188
