model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,0,0.061766579373938875,2.1632095608864814,-2.0894542214843312,2.2129873802322093,-3.49639651270629,3.619929671454168,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,0,-0.4725216692901016,3.9730010246318237,-4.423503858235646,3.478460519655443,-7.00752681453767,6.062483475957466,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,1,-1.4799146620579386,2.397378846805638,-3.8640069553041125,0.9041776311882352,-5.423251953402929,2.463422629287051,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,1,1.01352110570192,6.878443500753462,-5.826801257835252,7.853843469239092,-10.300511634293187,12.327553845697029,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,2,4.379813090988976,4.718063980844672,-0.3121028282499987,9.071729010227951,-3.3807115600924806,12.140337742070432,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,2,-13.624814105274588,11.805480304384679,-25.36486705904741,-1.8847611515017668,-33.043101201845886,5.793472991296714,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,3,11.865487030880852,9.370219759550169,2.5471981235883874,21.183775938173316,-3.5471529259475894,27.278126987709292,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,3,-30.459057924523123,21.516494820036723,-51.85630581735046,-9.061810031695781,-65.85054246854307,4.93242661949683,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,4,20.633250160660786,9.89879277280005,10.789317653490045,30.477182667831528,4.351184965879611,36.91531535544196,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,4,-39.01112800178293,21.55092566364658,-60.44261591846366,-17.579640085102202,-74.45924624379356,-3.5630097597722994,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,5,28.88204545383728,10.900733317846417,18.0417252731377,39.72236563453686,10.951934719546852,46.8121561881277,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,5,-45.90775710282715,20.22786852625317,-66.02352041929007,-25.791993786364227,-79.1796400137322,-12.635874191922099,184
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,6,30.10344812959849,11.85774665935401,18.31141848709978,41.8954777720972,10.59919052948835,49.60770572970863,180
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,6,-43.29797628746316,15.753779985287846,-58.96444698418469,-27.63150559074163,-69.21063843445937,-17.385314140466946,180
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,7,19.938962495924542,10.832322536720481,9.166673955812188,30.7112510360369,2.1213774830916954,37.75654750875739,176
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,7,-31.913588413684494,14.222920617954742,-46.057683944476125,-17.769492882892866,-55.30821097797022,-8.518965849398771,176
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,8,17.171996731334115,7.787401119571047,9.42775429826023,24.916239164408,4.3628617552817275,29.981131707386503,172
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,8,-55.4118677913749,9.907112679780443,-65.26407409562987,-45.55966148711994,-71.70761801532868,-39.11611756742113,172
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,9,8.948929594437537,6.627316051184704,2.3583429028143756,15.5395162860607,-1.9520352493073272,19.849894438182403,168
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,9,-52.834613107953516,10.066583657521031,-62.845406583165776,-42.823819632741255,-69.39266974803739,-36.27655646786964,168
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,10,-0.4578117411071192,6.040751795253809,-6.465084984410739,5.5494615021965,-10.39396424104396,9.47834075882972,164
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,10,-36.727971523063545,12.14646434536759,-48.807118744440544,-24.64882430168655,-56.707127456178156,-16.748815589948933,164
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,11,-18.58053481765278,8.26314961703047,-26.797889094450383,-10.363180540855176,-32.17220643526801,-4.988863200037548,160
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,11,-7.505614334389357,16.72413906389222,-24.137066266373157,9.125837597594444,-35.01437513127326,20.00314646249455,160
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,No climate shock,0,12,-26.796686669239712,8.54723939191199,-35.29655626220753,-18.296817076271896,-40.85564438344864,-12.737728955030784,156
household_secured_credit_rate__country_risk__pop_temp_shock,household_secured_credit_rate,country_risk,pop_temp_shock,MP Shock with extreme heat,3,12,13.129831392696225,16.683702071848042,-3.4614076537759537,29.721070439168404,-14.312416471160809,40.57207925655326,156
