model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,0,0.128357068344304,0.37054297517309254,-0.24013231438457378,0.49684645107318176,-0.4811318883105464,0.7378460249991543,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,MP Shock with extreme dryness,-3,0,1.007501215481357,0.905231297335325,0.10728681571805088,1.907715615244663,-0.48147176717063833,2.4964741981333525,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,1,0.5090255418539791,0.4859462620985092,0.025772450693803628,0.9922786330141545,-0.2902849298622642,1.3083360135702224,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,MP Shock with extreme dryness,-3,1,1.5452726828380938,1.0910145317562738,0.46030468103666955,2.630240684639518,-0.2492865267779747,3.3398318924541623,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,2,0.16819291621668367,0.4469612827217063,-0.27629125487546047,0.6126770873088278,-0.5669929707749971,0.9033788032083644,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,MP Shock with extreme dryness,-3,2,1.0756108387189527,1.0506865869747275,0.030747279519184767,2.120474397918721,-0.6526148046556906,2.8038364820935957,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,3,1.3387825578066623,0.7288008682463454,0.6140207890889714,2.063544326524353,0.14001180634627963,2.537553309267045,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,MP Shock with extreme dryness,-3,3,2.4829131335874575,1.423098346802434,1.0677017640270094,3.8981245031479057,0.1421246563408305,4.823701610834084,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,4,1.796295006532166,0.8824687965315843,0.9187169551347082,2.6738730579296237,0.3447630058856894,3.2478270071786426,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,MP Shock with extreme dryness,-3,4,3.1141180136477917,1.5238111765463078,1.5987519766081868,4.629484050687397,0.6076716731164082,5.620564354179175,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,No climate shock,0,5,2.0682062356301647,0.9898039531090805,1.0838878916286627,3.0525245796316667,0.44012361338778927,3.69628885787254,184
corporate_unsecured_credit_rate__target__pop_precip_shock,corporate_unsecured_credit_rate,target,pop_precip_shock,MP Shock with extreme dryness,-3,5,3.757013316134263,1.449644393147454,2.3154030215179584,5.198623610750568,1.3725604782758083,6.141466153992718,184
