model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,0,-0.634566087118501,0.15462672822632942,-0.7883358559581064,-0.4807963182788957,-0.8889044218652185,-0.38022775237178363,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,0,1.160151966753667,0.5553150561491945,0.6079145315010338,1.7123894020063002,0.24673998254590435,2.0735639509614296,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,1,-0.645855003393863,0.3114611895320004,-0.955590038637848,-0.33611996814987816,-1.1581630706501937,-0.13354693613753243,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,1,3.416588218899161,0.9278064396122356,2.4939237909339993,4.339252646864322,1.8904824315940438,4.942694006204278,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,2,0.27436759698862423,0.47726069051265685,-0.20024805903781767,0.7489832530150662,-0.5106563808024831,1.0593915747797316,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,2,1.7193934680012135,1.1314611595674953,0.5942029983236694,2.844583937678758,-0.14169452406809868,3.5804814600705255,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,3,1.5169380188260184,0.605283507536716,0.9150090631792811,2.1188669744727555,0.5213352461203428,2.512540791531694,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,3,1.4870956121679246,1.3443677301835186,0.15017852495412187,2.8240126993817274,-0.7241925247809531,3.698383749116802,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,4,0.9762900337004261,1.000845820754013,-0.019008982625937754,1.97158905002679,-0.6699548445860344,2.622534911986887,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,4,5.36671344048571,1.7661801369265673,3.6103216801506037,7.123105200820817,2.4616056364123993,8.271821244559021,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,5,0.4311570162028033,1.1506841545599495,-0.7131499123838887,1.5754639447894954,-1.4615499889007173,2.3238640213063237,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,5,7.898637052789066,2.8315697747228725,5.08276016845744,10.714513937120692,3.241119238869988,12.556154866708145,184
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,6,0.11584080295389444,1.4165442653726619,-1.2928528086615179,1.5245344145693067,-2.214167169681636,2.445848775589425,180
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,6,9.561811178807629,3.986214336577266,5.59768890763463,13.525933449980627,3.0050720694825586,16.1185502881327,180
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,7,-1.0746658007230256,1.6274054292323206,-2.693051959001459,0.5437203575554077,-3.7515095235163245,1.6021779220702732,176
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,7,12.387836744451825,4.958057356184533,7.4572575211880086,17.31841596771564,4.232558119498272,20.543115369405378,176
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,8,-2.019537568506874,1.8892958204401686,-3.8983626908588382,-0.14071244615491008,-5.127152651142142,1.0880775141283934,172
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,8,12.60666481379749,5.614383988455478,7.023396397111324,18.189933230483657,3.3718249472882285,21.841504680306752,172
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,9,-1.8143624916091066,2.169857645886083,-3.9721945330034796,0.3434695497852662,-5.383460710413212,1.7547357271949993,168
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,9,9.120998032949567,6.409040092436142,2.7474775892190797,15.494518476680053,-1.4209348083714168,19.66293087427055,168
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,10,-0.9993009551009869,2.5609064558589467,-3.5460145682926667,1.5474126580906926,-5.211617227304013,3.2130153171020397,164
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,10,6.336830565986629,6.799764985468726,-0.4252493277863989,13.098910459759658,-4.8477875327792255,17.521448664752484,164
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,11,-1.4542164159721913,2.1856955588247575,-3.6277985947420186,0.7193657627976358,-5.049365683316817,2.140932851372434,160
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,11,8.825280980856702,5.0331389255374,3.8200362990661674,13.830525662647236,0.546504164235877,17.104057797477527,160
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,No climate shock,0,12,-1.1244594630822393,2.3083277995689055,-3.419994240395761,1.1710753142312822,-4.921320816396063,2.6724018902315843,156
corporate_mortgage_rate__target__pop_temp_shock,corporate_mortgage_rate,target,pop_temp_shock,MP Shock with extreme heat,3,12,7.890609744782443,4.947884461533811,2.9701470367990996,12.811072452765787,-0.24793595750827535,16.029155447073162,156
