model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,No climate shock,0,0,-0.0036484394410574274,0.0071360623738610475,-0.01074495292382005,0.0034480740417051963,-0.0153862175188547,0.008089338636739843,196
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,0,0.011923936894745527,0.011768381951361737,2.2077669059046914e-4,0.023627097098900585,-0.007433328841302062,0.03128120263079312,196
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,No climate shock,0,1,0.027086855987408582,0.004770279776256705,0.022343013658794042,0.03183069831602312,0.019240443995859488,0.034933267978957676,196
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,1,0.09728208334192771,0.025445477997517528,0.07197762715525607,0.12258653952859935,0.05542799656819714,0.1391361701156583,196
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,No climate shock,0,2,0.008025730287112983,0.00971961418400676,-0.0016400166599298723,0.017691477234155838,-0.007961612356019504,0.024013072930245467,196
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,2,0.09073208213023932,0.04703043142407859,0.04396229884980867,0.13750186541066997,0.0133739064252512,0.16809025783522746,196
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,No climate shock,0,3,0.003510415567964481,0.008287240209440954,-0.004730895788366923,0.011751726924295883,-0.010120881547952544,0.017141712683881507,192
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,3,0.1095514886492939,0.04767777701335702,0.062137947444444244,0.15696502985414357,0.031128524203890104,0.18797445309469768,192
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,No climate shock,0,4,0.018772661718912297,0.012329618923306218,0.006511374983658278,0.031033948454166314,-0.0015077566860174328,0.039053080123842024,188
corporate_unsecured_credit__romer_surprise__pop_precip_shock,corporate_unsecured_credit,romer_surprise,pop_precip_shock,MP Shock with extreme dryness,-3,4,0.13366709986387115,0.05468916149017243,0.07928103209383792,0.1880531676339044,0.04371143423182629,0.22362276549591603,188
