model,dep,mp_shock,climate_shock,component,climate_state,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,0,0.01435065607989788,0.0038630896140728938,0.010508976159637367,0.01819233600015839,0.007996439116951519,0.02070487304284424,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,0,0.007220577146804713,0.001299120130231846,0.005928656892059172,0.008512497401550254,0.0050837146887471926,0.009357439604862234,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,0,9.049821371154721e-5,0.0021255781918990946,-0.0020232997756012413,0.0022042962030243357,-0.0034057667846026296,0.003586763212025724,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,1,0.01743551687622909,0.008979180014299608,0.00850610052624938,0.026364933226208802,0.002666080062658215,0.03220495368979997,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,1,0.0074035801836193245,0.003194833516269544,0.004226452807822341,0.010580707559416308,0.002148546686877242,0.012658613680361407,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,1,-0.002628356508990442,0.00537652382315513,-0.007975083009192103,0.002718369991211219,-0.01147195121989815,0.0062152382019172656,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,2,0.032894621092838874,0.011487030858234125,0.02147125270119425,0.0443179894844835,0.014000136722769,0.05178910546290875,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,2,0.01836308747654533,0.004780142543275975,0.013609437041518218,0.023116737911572444,0.010500452676892813,0.02622572227619785,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,2,0.0038315538602517844,0.006146907122239535,-0.0022812863848175003,0.00994439410532107,-0.006279208614297748,0.013942316334801317,196
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,3,0.0383743630873218,0.008642389719375806,0.0297798705011176,0.046968855673525996,0.024158897011878393,0.0525898291627652,192
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,3,0.023444697595046988,0.005301342864169194,0.018172735392176162,0.028716659797917814,0.014724764557204987,0.03216463063288899,192
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,3,0.008515032102772182,0.0075068514143367205,0.0010497845357007448,0.015980279669843618,-0.003832639673085357,0.02086270387862972,192
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,4,0.044599315109615525,0.01103140211794359,0.03362905031056976,0.05556957990866129,0.026454273325555867,0.06274435689367519,188
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,4,0.030199284281896763,0.008435326628175976,0.021810707219058013,0.03858786134473551,0.01632440668302118,0.044074161880772345,188
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,4,0.015799253454178,0.011592317615848686,0.004271181816425983,0.02732732509193002,-0.0032684122210241452,0.03486691912938014,188
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,5,0.04708853083981643,0.01031340503353907,0.03683228390147835,0.057344777778154506,0.030124489164180125,0.06405257251545274,184
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,5,0.029254146521223882,0.008414416154499603,0.020886364043774253,0.03762192899867351,0.015413663590816156,0.04309462945163161,184
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,5,0.011419762202631332,0.014561890055332543,-0.003061424157327826,0.025900948562590488,-0.012532415470150965,0.03537193987541363,184
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,-3 SD,-3,6,0.053310014452153914,0.016375682106467664,0.03702508828844025,0.06959494061586757,0.026374414345526266,0.08024561455878157,180
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,No climate shock,0,6,0.028239849871229728,0.00953566176648493,0.018757035855926946,0.03772266388653251,0.012555082029244515,0.043924617713214945,180
corporate_secured_credit__romer_surprise__pop_precip_shock,corporate_secured_credit,romer_surprise,pop_precip_shock,+3 SD,3,6,0.0031696852903055385,0.028427175674068335,-0.025099943656160247,0.03143931423677132,-0.04358885772117241,0.04992822830178348,180
